21488452,24149 Meadow Falls Dr,Diamond Bar,CA,91765,487000,4,2,1640,1962,579941,6,6,9
21658721,565 Charmingdale Rd,Diamond Bar,CA,91765,480000,3,2,1529,1964,564149,6,6,9
21672711,2350 S Diamond Bar Blvd UNIT B,Diamond Bar,CA,91765,321000,2,2,970,1980,323927,10,9,9
21487871,581 Pinto Mesa Dr,Diamond Bar,CA,91765,665000,4,3,2056,1967,658728,6,6,9
21484452,3508 S Spring Meadow Ct,Diamond Bar,CA,91765,1120000,5,4,3228,1998,1179416,9,9,9
21674206,21266 Running Branch Rd,Diamond Bar,CA,91765,960000,4,3,2697,1979,906363,9,9,9
21672511,2137 Dublin Ln # 1,Diamond Bar,CA,91765,578000,4,3,2104,1989,608653,10,9,9
21661376,1451 Meadow Glen Rd,Diamond Bar,CA,91765,640000,4,2,1704,1977,726793,10,9,9
21676154,23020 Dry Creek Rd,Diamond Bar,CA,91765,427000,3,2,1274,1962,464576,5,6,6
21673724,21523 Ambushers St,Diamond Bar,CA,91765,899900,4,3,2712,1978,892373,10,9,9
21492280,21402 Broken Arrow Dr,Diamond Bar,CA,91765,600000,4,2,1260,1976,600561,10,9,9
21488359,23812 Palomino Dr,Diamond Bar,CA,91765,530000,4,3,2104,1961,680765,6,6,7
21493387,1621 S Diamond Bar Blvd # 49,Diamond Bar,CA,91765,462000,3,2.5,1413,1985,450580,10,9,9
21662090,23897 Minnequa Dr,Diamond Bar,CA,91765,555000,4,2,1503,1966,520599,7,6,6
21492828,1711 Kiowa Crest Dr,Diamond Bar,CA,91765,550000,3,2,1738,1971,647067,10,9,9
21488836,24467 Deepsprings Dr,Diamond Bar,CA,91765,549000,3,2,1379,1988,536406,9,6,6
21674753,23435 Gold Rush Dr,Diamond Bar,CA,91765,648000,4,3,1881,1974,632972,5,6,6
21675472,22898 Hilton Head Dr UNIT 328,Diamond Bar,CA,91765,264000,2,1,851,1986,259425,5,6,6
21489244,23673 Palomino Dr,Diamond Bar,CA,91765,495000,4,2,1640,1961,538617,6,6,7
21487826,315 Fern Pl,Diamond Bar,CA,91765,520000,3,2,1339,1985,536684,6,6,9
21676108,23013 Mink Dr,Diamond Bar,CA,91765,480000,3,2,1687,1973,541307,5,6,6
21489404,21519 Lost River Dr,Diamond Bar,CA,91765,513000,4,2,1315,1963,571003,10,9,9
21661896,23824 Twin Pines Ln,Diamond Bar,CA,91765,485000,3,2,1272,1964,481736,7,6,6
21489708,21205 Cold Spring Ln,Diamond Bar,CA,91765,526000,3,2,1335,1964,592539,10,9,9
21665434,23533 Sunset Crossing Rd,Diamond Bar,CA,91765,450000,3,2,1272,1964,471635,7,6,6
21660689,1316 S Diamond Bar Blvd UNIT D,Diamond Bar,CA,91765,307000,2,1,820,1973,304534,10,9,9
21675995,22823 Dry Creek Rd,Pomona,CA,91765,540000,5,3,1841,1962,551224,5,6,6
21674720,374 S Prospectors Rd UNIT 127,Diamond Bar,CA,91765,215000,1,2,826,1979,198010,5,6,6
21658836,1439 Stonecrest Pl,Diamond Bar,CA,91765,891000,4,3,2155,1985,800781,10,9,6
21673413,2665 Clear Creek Ln,Diamond Bar,CA,91765,1350000,5,4,4610,1980,2211515,10,9,9
21489353,2241 Evergreen Springs Dr,Diamond Bar,CA,91765,545000,4,2,1315,1963,566629,10,9,9
21662914,940 Golden Springs Dr UNIT A,Diamond Bar,CA,91765,220000,3,3,1438,1983,368336,7,6,6
21659033,1307 Longview Dr,Diamond Bar,CA,91765,768000,4,2.5,1900,1985,721243,10,9,6
21676212,130 Gunsmoke Dr,Diamond Bar,CA,91765,474500,4,2,1386,1969,472810,5,6,6
21674677,356 S Prospectors Rd UNIT 84,Diamond Bar,CA,91765,198000,2,1,884,1979,303917,5,6,6
21661884,319 El Encino Dr,Diamond Bar,CA,91765,599000,4,1.5,1916,1965,574652,7,6,6
21661833,23931 Decorah Rd,Diamond Bar,CA,91765,515000,4,2,1859,1965,594298,7,6,6
21675813,22932 Rio Lobos Rd,Diamond Bar,CA,91765,800000,4,3,2089,1986,718936,10,9,10
21664288,24320 Sylvan Glen Rd UNIT B,Diamond Bar,CA,91765,379000,3,2.5,1400,1988,507452,7,6,6
21673396,23627 Falcons View Dr,Diamond Bar,CA,91765,2150000,6,5,5520,1984,2680552,10,9,9
21673237,2125 Rocky View Rd,Diamond Bar,CA,91765,1510000,5,3,3528,1977,1771845,10,9,9
21660345,908 Leyland Dr,Diamond Bar,CA,91765,780000,4,3,2464,1988,811265,9,6,6
21673481,24042 Falcons View Dr,Diamond Bar,CA,91765,1850000,5,3,3738,1972,1755485,10,9,9
21660306,1108 Pebblewood Dr,Diamond Bar,CA,91765,816000,4,3,2044,1986,849432,9,9,6
21663676,1140 Golden Springs Dr UNIT C,Diamond Bar,CA,91765,335000,2,3,1215,1983,326941,9,6,6
21672991,2920 Malaga Cir UNIT A,Diamond Bar,CA,91765,580000,4,3,2010,1987,593703,10,9,9
21675728,22901 True Grit Pl,Diamond Bar,CA,91765,695500,4,3,2078,1986,710357,10,9,9
21674887,772 Farben Dr,Diamond Bar,CA,91765,570000,5,2.5,2324,1973,643440,5,6,6
21664204,24214 Sylvan Glen Rd UNIT B,Diamond Bar,CA,91765,395000,3,2,1395,1988,400627,7,6,6
21675164,22801 Hilton Head Dr UNIT 19,Diamond Bar,CA,91765,203000,1,1,655,1981,200540,5,6,6
21661756,23810 Cholame Dr,Diamond Bar,CA,91765,529000,3,2,1412,1966,527204,7,6,6
21493479,23078 Aspen Knoll Dr,Diamond Bar,CA,91765,799000,5,1,2447,1972,798853,10,9,9
21658906,1006 Quiet Creek Ln,Diamond Bar,CA,91765,370000,3,2,1103,1973,361277,10,9,6
21674014,20903 Ambushers St,Diamond Bar,CA,91765,555000,4,2,1662,1964,572365,9,9,9
21673662,2819 Crystal Ridge Rd,Diamond Bar,CA,91765,6680000,7,7,10495,2002,6294582,10,9,9
21674331,3639 Hawkwood Rd,Diamond Bar,CA,91765,875000,4,3,2558,1981,859449,9,9,9
21484454,3503 S Spring Meadow Ct,Diamond Bar,CA,91765,1085000,5,4,3228,1998,1127391,9,9,9
21661280,1582 High Bluff Dr,Diamond Bar,CA,91765,679000,3,3,1772,1977,687185,10,9,9
21673286,23600 Ridge Line Rd,Diamond Bar,CA,91765,1530000,4,3,3406,1979,1576866,10,9,9
21487923,24139 Afamado Ln,Diamond Bar,CA,91765,555000,5,3,1843,1965,598193,6,6,9
21659956,1125 Longview Dr,Diamond Bar,CA,91765,858000,4,3,2366,1986,836912,9,9,6
